Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split,prompt_path,seq_path,prompt_path_audio,seq_path_audio
84,eight fo,8gm7xc,eight jee m seven x see,GenericPronunciation,p335,train,dump/alphanumeric_features/162_prompt.pth,dump/alphanumeric_features/162_seq.pth,dump/alphanumeric/162_prompt.wav,dump/alphanumeric/162_seq.wav
q3v,q three v,in5e94,eye n faaev ee nine four,GenericPronunciation,p294,train,dump/alphanumeric_features/163_prompt.pth,dump/alphanumeric_features/163_seq.pth,dump/alphanumeric/163_prompt.wav,dump/alphanumeric/163_seq.wav
kstf,kay s ti ef,ll8ndj,l el eight aen dee j,GenericPronunciation,p260,train,dump/alphanumeric_features/164_prompt.pth,dump/alphanumeric_features/164_seq.pth,dump/alphanumeric/164_prompt.wav,dump/alphanumeric/164_seq.wav
88,eight eight,9nj6p1,nine aen jay six pee one,GenericPronunciation,p255,train,dump/alphanumeric_features/166_prompt.pth,dump/alphanumeric_features/166_seq.pth,dump/alphanumeric/166_prompt.wav,dump/alphanumeric/166_seq.wav
uddy,you dee dee wai,lg37sa,el jee three seven s ae,GenericPronunciation,p363,train,dump/alphanumeric_features/167_prompt.pth,dump/alphanumeric_features/167_seq.pth,dump/alphanumeric/167_prompt.wav,dump/alphanumeric/167_seq.wav
db,dee bee,ggjcpq,jee jee j see p q,GenericPronunciation,p314,train,dump/alphanumeric_features/168_prompt.pth,dump/alphanumeric_features/168_seq.pth,dump/alphanumeric/168_prompt.wav,dump/alphanumeric/168_seq.wav
092,zero nine too,jq5y3f,jay cuu faaev y three ef,GenericPronunciation,p277,train,dump/alphanumeric_features/170_prompt.pth,dump/alphanumeric_features/170_seq.pth,dump/alphanumeric/170_prompt.wav,dump/alphanumeric/170_seq.wav
lbm,el bee am,0gniee,zero jee n eye ee ee,GenericPronunciation,p363,train,dump/alphanumeric_features/174_prompt.pth,dump/alphanumeric_features/174_seq.pth,dump/alphanumeric/174_prompt.wav,dump/alphanumeric/174_seq.wav
549,faaev fo nine,5v61ic,faaev v six one eye see,GenericPronunciation,p264,train,dump/alphanumeric_features/175_prompt.pth,dump/alphanumeric_features/175_seq.pth,dump/alphanumeric/175_prompt.wav,dump/alphanumeric/175_seq.wav
aa00,ae ae zero zero,s72aq0,es seven too ae cuu zero,GenericPronunciation,p281,train,dump/alphanumeric_features/176_prompt.pth,dump/alphanumeric_features/176_seq.pth,dump/alphanumeric/176_prompt.wav,dump/alphanumeric/176_seq.wav
gbw,jee bee double you,hkgjd9,h kay jee j dee nine,GenericPronunciation,p301,train,dump/alphanumeric_features/177_prompt.pth,dump/alphanumeric_features/177_seq.pth,dump/alphanumeric/177_prompt.wav,dump/alphanumeric/177_seq.wav
848,eight four eight,u21r54,you two one r faaev four,GenericPronunciation,p284,train,dump/alphanumeric_features/178_prompt.pth,dump/alphanumeric_features/178_seq.pth,dump/alphanumeric/178_prompt.wav,dump/alphanumeric/178_seq.wav
hwu,haych double you you,knkowq,k en kay oh double you q,GenericPronunciation,p288,train,dump/alphanumeric_features/180_prompt.pth,dump/alphanumeric_features/180_seq.pth,dump/alphanumeric/180_prompt.wav,dump/alphanumeric/180_seq.wav
7w,seven double you,kvxenb,kay wee eks ee n bee,GenericPronunciation,p279,train,dump/alphanumeric_features/181_prompt.pth,dump/alphanumeric_features/181_seq.pth,dump/alphanumeric/181_prompt.wav,dump/alphanumeric/181_seq.wav
848,eight fo eight,8u9c0z,eight you nine see zero zed,GenericPronunciation,p280,train,dump/alphanumeric_features/184_prompt.pth,dump/alphanumeric_features/184_seq.pth,dump/alphanumeric/184_prompt.wav,dump/alphanumeric/184_seq.wav
505,faaev zero faaev,yb9rmi,y bee nine aar em eye,GenericPronunciation,p301,train,dump/alphanumeric_features/185_prompt.pth,dump/alphanumeric_features/185_seq.pth,dump/alphanumeric/185_prompt.wav,dump/alphanumeric/185_seq.wav
5042,faaev zero four too,qhdnij,q aeych dee n eye jay,GenericPronunciation,p278,train,dump/alphanumeric_features/186_prompt.pth,dump/alphanumeric_features/186_seq.pth,dump/alphanumeric/186_prompt.wav,dump/alphanumeric/186_seq.wav
875,eight seven faaev,szp7ew,s z p seven ee double you,GenericPronunciation,p343,train,dump/alphanumeric_features/187_prompt.pth,dump/alphanumeric_features/187_seq.pth,dump/alphanumeric/187_prompt.wav,dump/alphanumeric/187_seq.wav
74,seven four,lpu1o4,el pee you one oh four,GenericPronunciation,p308,train,dump/alphanumeric_features/188_prompt.pth,dump/alphanumeric_features/188_seq.pth,dump/alphanumeric/188_prompt.wav,dump/alphanumeric/188_seq.wav
74,seven four,zo6x78,zee o six x seven eight,GenericPronunciation,p256,train,dump/alphanumeric_features/190_prompt.pth,dump/alphanumeric_features/190_seq.pth,dump/alphanumeric/190_prompt.wav,dump/alphanumeric/190_seq.wav
848,eight four eight,g9scu6,jee nine s see uu six,GenericPronunciation,p268,train,dump/alphanumeric_features/191_prompt.pth,dump/alphanumeric_features/191_seq.pth,dump/alphanumeric/191_prompt.wav,dump/alphanumeric/191_seq.wav
bai,bee ae eye,pfw9pu,p ef double you nine p you,GenericPronunciation,p270,train,dump/alphanumeric_features/192_prompt.pth,dump/alphanumeric_features/192_seq.pth,dump/alphanumeric/192_prompt.wav,dump/alphanumeric/192_seq.wav
35,three five,22ftae,two two ef ti ae ee,GenericPronunciation,p279,train,dump/alphanumeric_features/193_prompt.pth,dump/alphanumeric_features/193_seq.pth,dump/alphanumeric/193_prompt.wav,dump/alphanumeric/193_seq.wav
278,too seven eight,we8jms,double you ee eight jay m es,GenericPronunciation,p285,train,dump/alphanumeric_features/194_prompt.pth,dump/alphanumeric_features/194_seq.pth,dump/alphanumeric/194_prompt.wav,dump/alphanumeric/194_seq.wav
kstf,kay es tee ef,v1j50b,v one jay faaev zero bee,GenericPronunciation,p339,train,dump/alphanumeric_features/195_prompt.pth,dump/alphanumeric_features/195_seq.pth,dump/alphanumeric/195_prompt.wav,dump/alphanumeric/195_seq.wav
oqby,o q bee why,rytlcm,r why tee el see am,GenericPronunciation,p278,train,dump/alphanumeric_features/196_prompt.pth,dump/alphanumeric_features/196_seq.pth,dump/alphanumeric/196_prompt.wav,dump/alphanumeric/196_seq.wav
861,eight six one,982mdp,nine eight too am dee p,GenericPronunciation,p266,train,dump/alphanumeric_features/197_prompt.pth,dump/alphanumeric_features/197_seq.pth,dump/alphanumeric/197_prompt.wav,dump/alphanumeric/197_seq.wav
384,three eight fo,fyjrkl,ef why j r k l,GenericPronunciation,p360,train,dump/alphanumeric_features/198_prompt.pth,dump/alphanumeric_features/198_seq.pth,dump/alphanumeric/198_prompt.wav,dump/alphanumeric/198_seq.wav
78,seven eight,vmns0p,wee em en s zero p,GenericPronunciation,p266,train,dump/alphanumeric_features/199_prompt.pth,dump/alphanumeric_features/199_seq.pth,dump/alphanumeric/199_prompt.wav,dump/alphanumeric/199_seq.wav
088,zero eight eight,4bu9n3,four bee you nine en three,GenericPronunciation,p335,train,dump/alphanumeric_features/200_prompt.pth,dump/alphanumeric_features/200_seq.pth,dump/alphanumeric/200_prompt.wav,dump/alphanumeric/200_seq.wav
sgct,es jee see ti,7yucg7,seven why you see jee seven,GenericPronunciation,p361,train,dump/alphanumeric_features/204_prompt.pth,dump/alphanumeric_features/204_seq.pth,dump/alphanumeric/204_prompt.wav,dump/alphanumeric/204_seq.wav
918,nine one eight,vzon86,wee zed oo n eight six,GenericPronunciation,p255,train,dump/alphanumeric_features/207_prompt.pth,dump/alphanumeric_features/207_seq.pth,dump/alphanumeric/207_prompt.wav,dump/alphanumeric/207_seq.wav
848,eight four eight,r1j3z1,r one j three z one,GenericPronunciation,p314,train,dump/alphanumeric_features/209_prompt.pth,dump/alphanumeric_features/209_seq.pth,dump/alphanumeric/209_prompt.wav,dump/alphanumeric/209_seq.wav
14,one fo,7hua9m,seven h you ae nine em,GenericPronunciation,p347,train,dump/alphanumeric_features/210_prompt.pth,dump/alphanumeric_features/210_seq.pth,dump/alphanumeric/210_prompt.wav,dump/alphanumeric/210_seq.wav
278,two seven eight,wltiyl,double u el ti eye why l,GenericPronunciation,p265,train,dump/alphanumeric_features/211_prompt.pth,dump/alphanumeric_features/211_seq.pth,dump/alphanumeric/211_prompt.wav,dump/alphanumeric/211_seq.wav
5042,faaev zero four too,fu9d8r,ef uu nine dee eight arr,GenericPronunciation,p256,train,dump/alphanumeric_features/212_prompt.pth,dump/alphanumeric_features/212_seq.pth,dump/alphanumeric/212_prompt.wav,dump/alphanumeric/212_seq.wav
7297,seven two nine seven,wh6lem,double you aeych six el ee m,GenericPronunciation,p273,train,dump/alphanumeric_features/214_prompt.pth,dump/alphanumeric_features/214_seq.pth,dump/alphanumeric/214_prompt.wav,dump/alphanumeric/214_seq.wav
aa00,ae ae zero zero,cqjma0,see q j am ae zero,GenericPronunciation,p264,train,dump/alphanumeric_features/215_prompt.pth,dump/alphanumeric_features/215_seq.pth,dump/alphanumeric/215_prompt.wav,dump/alphanumeric/215_seq.wav
092,zero nine two,iw4bfm,eye double you four bee ef em,GenericPronunciation,p267,train,dump/alphanumeric_features/217_prompt.pth,dump/alphanumeric_features/217_seq.pth,dump/alphanumeric/217_prompt.wav,dump/alphanumeric/217_seq.wav
088,zero eight eight,fzl8c0,ef zee el eight see zero,GenericPronunciation,p292,train,dump/alphanumeric_features/218_prompt.pth,dump/alphanumeric_features/218_seq.pth,dump/alphanumeric/218_prompt.wav,dump/alphanumeric/218_seq.wav
udb,you dee bee,j62pji,jay six two pee jay i,GenericPronunciation,p294,train,dump/alphanumeric_features/219_prompt.pth,dump/alphanumeric_features/219_seq.pth,dump/alphanumeric/219_prompt.wav,dump/alphanumeric/219_seq.wav
9269,nine two six nine,lki5fk,el kay i five ef k,GenericPronunciation,p334,train,dump/alphanumeric_features/221_prompt.pth,dump/alphanumeric_features/221_seq.pth,dump/alphanumeric/221_prompt.wav,dump/alphanumeric/221_seq.wav
549,five fo nine,5f0la5,five ef zero el ae five,GenericPronunciation,p273,train,dump/alphanumeric_features/222_prompt.pth,dump/alphanumeric_features/222_seq.pth,dump/alphanumeric/222_prompt.wav,dump/alphanumeric/222_seq.wav
3sk,three es k,31qxgc,three one q eks jee see,GenericPronunciation,p273,train,dump/alphanumeric_features/223_prompt.pth,dump/alphanumeric_features/223_seq.pth,dump/alphanumeric/223_prompt.wav,dump/alphanumeric/223_seq.wav
5042,five zero fo two,qswfw2,cuu es double u ef double u two,GenericPronunciation,p279,train,dump/alphanumeric_features/225_prompt.pth,dump/alphanumeric_features/225_seq.pth,dump/alphanumeric/225_prompt.wav,dump/alphanumeric/225_seq.wav
chzg,see haych z jee,hn0r4g,haych n zero arr four jee,GenericPronunciation,p297,train,dump/alphanumeric_features/226_prompt.pth,dump/alphanumeric_features/226_seq.pth,dump/alphanumeric/226_prompt.wav,dump/alphanumeric/226_seq.wav
980,nine eight zero,jgbkxs,j jee bee kay eks s,GenericPronunciation,p252,train,dump/alphanumeric_features/227_prompt.pth,dump/alphanumeric_features/227_seq.pth,dump/alphanumeric/227_prompt.wav,dump/alphanumeric/227_seq.wav
574,five seven fo,5io9q7,five eye oh nine cuu seven,GenericPronunciation,p293,train,dump/alphanumeric_features/228_prompt.pth,dump/alphanumeric_features/228_seq.pth,dump/alphanumeric/228_prompt.wav,dump/alphanumeric/228_seq.wav
9269,nine too six nine,urw1bm,you arr double u one bee m,GenericPronunciation,p282,train,dump/alphanumeric_features/229_prompt.pth,dump/alphanumeric_features/229_seq.pth,dump/alphanumeric/229_prompt.wav,dump/alphanumeric/229_seq.wav
tc,tee see,o5eayi,oo faaev ee ae why i,GenericPronunciation,p288,train,dump/alphanumeric_features/230_prompt.pth,dump/alphanumeric_features/230_seq.pth,dump/alphanumeric/230_prompt.wav,dump/alphanumeric/230_seq.wav
092,zero nine too,n91gcd,aen nine one jee see dee,GenericPronunciation,p282,train,dump/alphanumeric_features/231_prompt.pth,dump/alphanumeric_features/231_seq.pth,dump/alphanumeric/231_prompt.wav,dump/alphanumeric/231_seq.wav
er,ee r,xiboim,x eye bee o i m,GenericPronunciation,p266,train,dump/alphanumeric_features/232_prompt.pth,dump/alphanumeric_features/232_seq.pth,dump/alphanumeric/232_prompt.wav,dump/alphanumeric/232_seq.wav
875,eight seven faaev,zwip33,zed double you eye pee three three,GenericPronunciation,p250,train,dump/alphanumeric_features/234_prompt.pth,dump/alphanumeric_features/234_seq.pth,dump/alphanumeric/234_prompt.wav,dump/alphanumeric/234_seq.wav
016,zero one six,4064hf,fo zero six fo aeych ef,GenericPronunciation,p284,train,dump/alphanumeric_features/235_prompt.pth,dump/alphanumeric_features/235_seq.pth,dump/alphanumeric/235_prompt.wav,dump/alphanumeric/235_seq.wav
278,two seven eight,s4refs,s four arr ee ef es,GenericPronunciation,p293,train,dump/alphanumeric_features/236_prompt.pth,dump/alphanumeric_features/236_seq.pth,dump/alphanumeric/236_prompt.wav,dump/alphanumeric/236_seq.wav
384,three eight four,6krj66,six k aar j six six,GenericPronunciation,p298,train,dump/alphanumeric_features/237_prompt.pth,dump/alphanumeric_features/237_seq.pth,dump/alphanumeric/237_prompt.wav,dump/alphanumeric/237_seq.wav
puuy,p you uu y,l8v1tq,l eight wee one ti cuu,GenericPronunciation,p283,train,dump/alphanumeric_features/238_prompt.pth,dump/alphanumeric_features/238_seq.pth,dump/alphanumeric/238_prompt.wav,dump/alphanumeric/238_seq.wav
65,six faaev,b2aniy,bee two ae en i y,GenericPronunciation,p294,train,dump/alphanumeric_features/239_prompt.pth,dump/alphanumeric_features/239_seq.pth,dump/alphanumeric/239_prompt.wav,dump/alphanumeric/239_seq.wav
97,nine seven,3trs3o,three tee aar es three oh,GenericPronunciation,p326,train,dump/alphanumeric_features/241_prompt.pth,dump/alphanumeric_features/241_seq.pth,dump/alphanumeric/241_prompt.wav,dump/alphanumeric/241_seq.wav
er,ee r,1itb1y,one eye tee bee one why,GenericPronunciation,p364,train,dump/alphanumeric_features/242_prompt.pth,dump/alphanumeric_features/242_seq.pth,dump/alphanumeric/242_prompt.wav,dump/alphanumeric/242_seq.wav
092,zero nine two,sghknh,es jee h kay n h,GenericPronunciation,p362,train,dump/alphanumeric_features/243_prompt.pth,dump/alphanumeric_features/243_seq.pth,dump/alphanumeric/243_prompt.wav,dump/alphanumeric/243_seq.wav
c0hz,see zero aeych z,dq10w7,dee cuu one zero double you seven,GenericPronunciation,p268,train,dump/alphanumeric_features/244_prompt.pth,dump/alphanumeric_features/244_seq.pth,dump/alphanumeric/244_prompt.wav,dump/alphanumeric/244_seq.wav
66,six six,rutjd2,aar you tee jay dee too,GenericPronunciation,p363,train,dump/alphanumeric_features/246_prompt.pth,dump/alphanumeric_features/246_seq.pth,dump/alphanumeric/246_prompt.wav,dump/alphanumeric/246_seq.wav
65,six five,uw72ev,uu double u seven two ee wee,GenericPronunciation,p312,train,dump/alphanumeric_features/247_prompt.pth,dump/alphanumeric_features/247_seq.pth,dump/alphanumeric/247_prompt.wav,dump/alphanumeric/247_seq.wav
j0,jay zero,cynktu,see why aen kay tee uu,GenericPronunciation,p298,train,dump/alphanumeric_features/248_prompt.pth,dump/alphanumeric_features/248_seq.pth,dump/alphanumeric/248_prompt.wav,dump/alphanumeric/248_seq.wav
cf,see ef,efa1bk,ee ef ae one bee k,GenericPronunciation,p262,train,dump/alphanumeric_features/249_prompt.pth,dump/alphanumeric_features/249_seq.pth,dump/alphanumeric/249_prompt.wav,dump/alphanumeric/249_seq.wav
549,faaev four nine,dlze0t,dee el z ee zero ti,GenericPronunciation,p364,train,dump/alphanumeric_features/250_prompt.pth,dump/alphanumeric_features/250_seq.pth,dump/alphanumeric/250_prompt.wav,dump/alphanumeric/250_seq.wav
46,four six,mg2amf,m jee too ae m ef,GenericPronunciation,p314,train,dump/alphanumeric_features/253_prompt.pth,dump/alphanumeric_features/253_seq.pth,dump/alphanumeric/253_prompt.wav,dump/alphanumeric/253_seq.wav
65,six faaev,z5cuvy,zee faaev see you v wai,GenericPronunciation,p287,train,dump/alphanumeric_features/254_prompt.pth,dump/alphanumeric_features/254_seq.pth,dump/alphanumeric/254_prompt.wav,dump/alphanumeric/254_seq.wav
wc,double u see,o85zj0,oo eight faaev zed j zero,GenericPronunciation,p374,train,dump/alphanumeric_features/255_prompt.pth,dump/alphanumeric_features/255_seq.pth,dump/alphanumeric/255_prompt.wav,dump/alphanumeric/255_seq.wav
875,eight seven five,agode1,ae jee oo dee ee one,GenericPronunciation,p310,train,dump/alphanumeric_features/256_prompt.pth,dump/alphanumeric_features/256_seq.pth,dump/alphanumeric/256_prompt.wav,dump/alphanumeric/256_seq.wav
er,ee aar,62kqsh,six too kay q es h,GenericPronunciation,p273,train,dump/alphanumeric_features/257_prompt.pth,dump/alphanumeric_features/257_seq.pth,dump/alphanumeric/257_prompt.wav,dump/alphanumeric/257_seq.wav
875,eight seven faaev,3wuyrr,three double u uu y aar r,GenericPronunciation,p282,train,dump/alphanumeric_features/258_prompt.pth,dump/alphanumeric_features/258_seq.pth,dump/alphanumeric/258_prompt.wav,dump/alphanumeric/258_seq.wav
84,eight four,nnqb70,aen aen cuu bee seven zero,GenericPronunciation,p297,train,dump/alphanumeric_features/259_prompt.pth,dump/alphanumeric_features/259_seq.pth,dump/alphanumeric/259_prompt.wav,dump/alphanumeric/259_seq.wav
xadw,eks ae dee double u,sv1cqc,s v one see q see,GenericPronunciation,p259,train,dump/alphanumeric_features/260_prompt.pth,dump/alphanumeric_features/260_seq.pth,dump/alphanumeric/260_prompt.wav,dump/alphanumeric/260_seq.wav
66,six six,4wlnux,four double you el n uu x,GenericPronunciation,p312,train,dump/alphanumeric_features/261_prompt.pth,dump/alphanumeric_features/261_seq.pth,dump/alphanumeric/261_prompt.wav,dump/alphanumeric/261_seq.wav
lvt,el v tee,atkx58,ae tee kay x five eight,GenericPronunciation,p258,train,dump/alphanumeric_features/262_prompt.pth,dump/alphanumeric_features/262_seq.pth,dump/alphanumeric/262_prompt.wav,dump/alphanumeric/262_seq.wav
2h5,two aeych five,k8yg3u,k eight wai jee three you,GenericPronunciation,p271,train,dump/alphanumeric_features/264_prompt.pth,dump/alphanumeric_features/264_seq.pth,dump/alphanumeric/264_prompt.wav,dump/alphanumeric/264_seq.wav
yj,wai jay,ykezwr,wai k ee z double u aar,GenericPronunciation,p335,train,dump/alphanumeric_features/266_prompt.pth,dump/alphanumeric_features/266_seq.pth,dump/alphanumeric/266_prompt.wav,dump/alphanumeric/266_seq.wav
mi,em eye,euj32r,ee you j three too aar,GenericPronunciation,p271,train,dump/alphanumeric_features/267_prompt.pth,dump/alphanumeric_features/267_seq.pth,dump/alphanumeric/267_prompt.wav,dump/alphanumeric/267_seq.wav
278,too seven eight,56v6iu,five six wee six eye uu,GenericPronunciation,p345,train,dump/alphanumeric_features/268_prompt.pth,dump/alphanumeric_features/268_seq.pth,dump/alphanumeric/268_prompt.wav,dump/alphanumeric/268_seq.wav
lndi,l aen dee i,3rsctd,three arr es see ti dee,GenericPronunciation,p264,train,dump/alphanumeric_features/271_prompt.pth,dump/alphanumeric_features/271_seq.pth,dump/alphanumeric/271_prompt.wav,dump/alphanumeric/271_seq.wav
ef,ee ef,fub9xw,ef uu bee nine x double you,GenericPronunciation,p333,train,dump/alphanumeric_features/273_prompt.pth,dump/alphanumeric_features/273_seq.pth,dump/alphanumeric/273_prompt.wav,dump/alphanumeric/273_seq.wav
wc,double u see,6un1qv,six uu en one cuu v,GenericPronunciation,p316,train,dump/alphanumeric_features/274_prompt.pth,dump/alphanumeric_features/274_seq.pth,dump/alphanumeric/274_prompt.wav,dump/alphanumeric/274_seq.wav
ef,ee ef,407bko,four zero seven bee kay oo,GenericPronunciation,p273,train,dump/alphanumeric_features/275_prompt.pth,dump/alphanumeric_features/275_seq.pth,dump/alphanumeric/275_prompt.wav,dump/alphanumeric/275_seq.wav
51,five one,wujczf,double you uu jay see zed ef,GenericPronunciation,p303,train,dump/alphanumeric_features/276_prompt.pth,dump/alphanumeric_features/276_seq.pth,dump/alphanumeric/276_prompt.wav,dump/alphanumeric/276_seq.wav
